NLOC,CCN,Token,Param,Length,location
18,1,94,0,142,(anonymous)@1533-1674@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,3,Tab@1702-1704@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,1,18,0,6,(anonymous)@1738-1743@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
22,5,150,0,35,show@1710-1744@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
17,4,80,0,21,next@1752-1772@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
11,4,64,3,34,activate@1746-1779@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,3,54,0,6,(anonymous)@1789-1794@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,1,8,$.fn.tab@1788-1795@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,13,0,4,$.fn.tab.noConflict@1803-1806@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,19,1,4,(anonymous)@1812-1815@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
14,1,80,0,124,(anonymous)@1694-1817@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
12,5,119,2,12,Typeahead@1845-1856@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,1,43,0,7,select@1862-1868@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,7,1,3,updater@1870-1872@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
14,1,77,0,16,show@1874-1889@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,18,0,5,hide@1891-1895@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
9,6,96,1,13,lookup@1897-1909@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,12,1,3,(anonymous)@1914-1916@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
9,3,71,1,15,process@1911-1925@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,23,1,3,matcher@1927-1929@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
12,4,95,1,14,sorter@1931-1944@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,13,2,3,(anonymous)@1948-1950@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,39,1,6,highlighter@1946-1951@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,45,2,5,(anonymous)@1956-1960@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
7,1,41,1,13,render@1953-1965@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,2,60,1,10,next@1967-1976@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,2,58,1,10,prev@1978-1987@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
14,2,156,0,16,listen@1989-2004@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
8,2,43,1,8,eventSupported@2006-2013@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
19,7,69,1,23,move@2015-2037@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,1,36,1,4,keydown@2039-2042@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,2,18,1,4,keypress@2044-2047@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
23,11,83,1,27,keyup@2049-2075@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
3,1,10,1,3,focus@2077-2079@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
4,3,26,1,4,blur@2081-2084@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
6,1,27,1,6,click@2086-2091@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
5,1,34,1,5,mouseenter@2093-2097@C:\User\varshini\Downloads\FinalProject\salt\doc\_themes\saltstack\static\js\vendor\bootstrap.js
